StockCode,title,description,features,category,tags,attributes,Price,image_url
20717,STRAWBERRY SHOPPER BAG,A stylish and practical shopping bag made from high-quality materials.,"[""Strawberry color"", ""Shopping bag design"", ""Durable material""]",Home & Garden,"[""shopping bags"", ""straw bags"", ""durable""]","{""color"": ""Strawberry"", ""material"": ""Durable fabric"", ""style"": ""Shopping bag""}",1.25,"['https://m.media-amazon.com/images/I/71pXoJYyrwL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71cydC3QdCL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61Fp3BWQj4L._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/51AV-Gc0xCL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71P6dQmzdWL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81SIsDJeg5L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61ihQHcX6sL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71NwYkDry4L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/814WtuGxC8L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71TqIOmud0L._AC_UL320_.jpg']"
20718,RED SPOTTY SHOPPER BAG,A stylish and functional shopping bag with a unique design.,"[""Red color"", ""Spotty pattern"", ""Shopping bag""]",Home & Garden,"[""shopping bags"", ""unique designs"", ""stylish bags""]","{""color"": ""Red"", ""material"": ""Polyester"", ""style"": ""Spotty""}",1.25,"['https://m.media-amazon.com/images/I/81JsYGngg-L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/4199+RJl0bL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71mh1jyAZ6L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71PRdwdgoaL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81tIlbU8TWL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81MmxtA-fnL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81pt6TXkMaL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/815YDrqq0LL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/91j4vdZoI5L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81WIWp763iL._AC_UL320_.jpg']"
20718,RED SPOTTY SHOPPER BAG,A stylish and functional shopping bag with a unique design.,"[""Red color"", ""Spotty pattern"", ""Shopping bag""]",Home & Garden,"[""shopping bags"", ""unique designs"", ""stylish bags""]","{""color"": ""Red"", ""material"": ""Polyester"", ""style"": ""Spotty""}",1.25,"['https://m.media-amazon.com/images/I/81i+xfz+u7L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61+EPgBRnJL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61kamErHoyL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51gJIfEg0dL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/21npBx8BGqL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61duwelHj7L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71v8GTWdHEL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71JYiIPr-rL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81IuU+q4ZaL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/4199+RJl0bL._AC_UL320_.jpg']"
20718,RED RETROSPOT SHOPPER BAG,A stylish and functional shopping bag with a retro-inspired design.,"[""Red color"", ""Retro-style design"", ""Shopping bag""]",Home & Garden,"[""shopping bags"", ""retro designs"", ""stylish bags""]","{""color"": ""Red"", ""material"": ""Polyester"", ""style"": ""Retro""}",1.25,"['https://m.media-amazon.com/images/I/81JsYGngg-L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/4199+RJl0bL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71mh1jyAZ6L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71PRdwdgoaL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81tIlbU8TWL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81MmxtA-fnL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81pt6TXkMaL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/815YDrqq0LL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/91j4vdZoI5L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81WIWp763iL._AC_UL320_.jpg']"
20718,RED RETROSPOT SHOPPER BAG,A stylish and functional shopping bag with a retro-inspired design.,"[""Red color"", ""Retro-style design"", ""Shopping bag""]",Home & Garden,"[""shopping bags"", ""retro designs"", ""stylish bags""]","{""color"": ""Red"", ""material"": ""Polyester"", ""style"": ""Retro""}",1.25,"['https://m.media-amazon.com/images/I/81i+xfz+u7L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61+EPgBRnJL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61kamErHoyL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51gJIfEg0dL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/21npBx8BGqL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61duwelHj7L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71v8GTWdHEL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71JYiIPr-rL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81IuU+q4ZaL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/4199+RJl0bL._AC_UL320_.jpg']"
20719,WOODLAND CHARLOTTE BAG,A beautiful wooden bag with a Charlotte design.,"[""wooden"", ""Charlotte""]",bags,"[""wood"", ""woodland"", ""charlotte""]","{""color"": ""wood"", ""material"": ""wood"", ""style"": ""woodland""}",0.85,"['https://m.media-amazon.com/images/I/71CkGeWt80L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81uRc4Qx3GL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81-2hb31SzL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71Wkk7ycmxL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/715cUcTsAfL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71+yf+G9BYL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81FG-l2iIYL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81q7APDjiVL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71tLaYtITWL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61dz158LzsL._AC_UL320_.jpg']"
20723,STRAWBERRY CHARLOTTE BAG,A delightful strawberry Charlotte bag with a unique design and vibrant colors.,"[""Delicate Strawberries"", ""Rich Chocolate Filling"", ""Stunning Design""]",Cakes & Pastries,"[""Strawberry"", ""Charlotte"", ""Bag""]","{""color"": ""Vivid Strawberry Red"", ""material"": ""High-Quality Paper"", ""style"": ""Classic""}",0.85,"['https://m.media-amazon.com/images/I/61fTELn3nOL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51kleiGKDrL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81zWtO29MWL._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/81uLA6o+vuL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/41qO4DyiqgL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/310lfuI-q5L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71QQPTDO4XL._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/51U9r1hrbWL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71gAYdieFiL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81dkO45R-dL._AC_UL320_.jpg']"
20724,RED SPOTTY CHARLOTTE BAG,A unique and stylish red spotted Charlotte bag with a spotless finish.,"[""Red spotted pattern"", ""Spotless finish""]",Accessories,"[""Fashion"", ""Bag""]","{""color"": ""Red"", ""material"": ""Polyester"", ""style"": ""Classic""}",0.85,"['https://m.media-amazon.com/images/I/71wMlQE7ctL._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/81+LmIeiWeL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71wMlQE7ctL._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/614bsZ20W1L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71hIHewAubL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51O-bQDeikL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71wMlQE7ctL._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/71CpEFE7A1L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71wMlQE7ctL._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/812+y+SG03L._AC_UL320_.jpg']"
20724,RED SPOTTY CHARLOTTE BAG,A unique and stylish red spotted Charlotte bag with a spotless finish.,"[""Red spotted pattern"", ""Spotless finish""]",Accessories,"[""Fashion"", ""Bag""]","{""color"": ""Red"", ""material"": ""Polyester"", ""style"": ""Classic""}",0.85,"['https://m.media-amazon.com/images/I/61q6kHQ8oiL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61v+16oyUeL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51vSes32J1L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61HwL9Bso4L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61xOUr4gdKL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71OEku7faKL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71+aFdSiJzL._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/61m9LNnFKyL._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/417lLWGpKyL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51O-bQDeikL._AC_UL320_.jpg']"
20724,RED RETROSPOT CHARLOTTE BAG,A retro-inspired Charlotte bag with a red color and a retro style.,"[""Red color"", ""Retro-style""]",Ladies Bags,"[""retro"", ""ladies bags""]","{""color"": ""red"", ""material"": ""unknown"", ""style"": ""retro""}",0.85,"['https://m.media-amazon.com/images/I/71wMlQE7ctL._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/81+LmIeiWeL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71wMlQE7ctL._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/614bsZ20W1L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71hIHewAubL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51O-bQDeikL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71wMlQE7ctL._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/71CpEFE7A1L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71wMlQE7ctL._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/812+y+SG03L._AC_UL320_.jpg']"
20724,RED RETROSPOT CHARLOTTE BAG,A retro-inspired Charlotte bag with a red color and a retro style.,"[""Red color"", ""Retro-style""]",Ladies Bags,"[""retro"", ""ladies bags""]","{""color"": ""red"", ""material"": ""unknown"", ""style"": ""retro""}",0.85,"['https://m.media-amazon.com/images/I/61q6kHQ8oiL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61v+16oyUeL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51vSes32J1L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61HwL9Bso4L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61xOUr4gdKL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71OEku7faKL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71+aFdSiJzL._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/61m9LNnFKyL._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/417lLWGpKyL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51O-bQDeikL._AC_UL320_.jpg']"
20725,LUNCH BAG RED SPOTTY,A stylish and functional lunch bag with a red spotted design.,"[""Red spotted design"", ""Stylish""]",Lunch Bags,"[""red"", ""spotted"", ""lunch bags""]","{""color"": ""Red"", ""material"": ""Polyester"", ""style"": ""Spotted""}",1.65,"['https://m.media-amazon.com/images/I/71SmrqRo96L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71gnUOYWBmL._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/81ktauSvehL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61AAvQ5KSIL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/511Typh0sfL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/71gnUOYWBmL._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/61AAvQ5KSIL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/61slWkezVvL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/41GA22QEoQL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71QQPTDO4XL._AC_UL640_QL65_.jpg']"
20725,LUNCH BAG RED SPOTTY,A stylish and functional lunch bag with a red spotted design.,"[""Red spotted design"", ""Stylish""]",Lunch Bags,"[""red"", ""spotted"", ""lunch bags""]","{""color"": ""Red"", ""material"": ""Polyester"", ""style"": ""Spotted""}",1.65,"['https://m.media-amazon.com/images/I/511Typh0sfL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/61O1jBdLk+L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/71gnUOYWBmL._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/710wVq3ofAL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/71nJm0kjsHL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/51TgkqDcdwL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/61ZV6oSvlAL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/812j-7ZfunL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/81kp6nP8PSL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/41VdXy-PHKL._AC_UY218_.jpg']"
20725,LUNCH BAG RED RETROSPOT,A retro-style lunch bag with a red color and a retro spot design.,"[""Retro style"", ""Red color"", ""Retro spot design""]",Lunch Bags,"[""retro"", ""lunch bags"", ""red""]","{""color"": ""Red"", ""material"": ""Polyester"", ""style"": ""Retro""}",1.65,"['https://m.media-amazon.com/images/I/71SmrqRo96L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71gnUOYWBmL._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/81ktauSvehL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61AAvQ5KSIL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/511Typh0sfL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/71gnUOYWBmL._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/61AAvQ5KSIL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/61slWkezVvL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/41GA22QEoQL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71QQPTDO4XL._AC_UL640_QL65_.jpg']"
20725,LUNCH BAG RED RETROSPOT,A retro-style lunch bag with a red color and a retro spot design.,"[""Retro style"", ""Red color"", ""Retro spot design""]",Lunch Bags,"[""retro"", ""lunch bags"", ""red""]","{""color"": ""Red"", ""material"": ""Polyester"", ""style"": ""Retro""}",1.65,"['https://m.media-amazon.com/images/I/511Typh0sfL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/61O1jBdLk+L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/71gnUOYWBmL._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/710wVq3ofAL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/71nJm0kjsHL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/51TgkqDcdwL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/61ZV6oSvlAL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/812j-7ZfunL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/81kp6nP8PSL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/41VdXy-PHKL._AC_UY218_.jpg']"
20726,LUNCH BAG WOODLAND,A durable and stylish lunch bag made from wood.,"[""Durable"", ""Stylish""]",Lunch Bags,"[""wood"", ""lunch bags""]","{""color"": ""Wooden"", ""material"": ""Wood"", ""style"": ""Wooden""}",1.65,"['https://m.media-amazon.com/images/I/81bMwrCrUPL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/81+PJpz1KxL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/81yQtWP3V9L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/71Fyyqc5M0L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/71gnUOYWBmL._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/71Q-E3JKyVL._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/71mdFVVyizL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/71ywCjifHmL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/71Q-E3JKyVL._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/81kwzgZw+KL._AC_UY218_.jpg']"
20727,LUNCH BAG  BLACK SKULL,A stylish and functional lunch bag with a black skull design.,"[""Black skull design"", ""Functional""]",Lunch Bags,"[""Fashionable"", ""Functionality"", ""Design""]","{""color"": ""Black"", ""material"": ""Polyester"", ""style"": ""Classic""}",1.65,"['https://m.media-amazon.com/images/I/818iqKCt04L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71g3hwIsQxL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71q+6+RgTdL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/611Pk5PBCTL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71gMoWPucQL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71cnkZpJnRL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81HjfgZY4bL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71WlDwUAfcL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71y-Y0PDfOL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71FZ2mXCPJL._AC_UL320_.jpg']"
20728,LUNCH BAG CARS BLUE,"A stylish and practical lunch bag for cars, made of durable material.","[""Durable material"", ""Stylish design""]",Lunch Bags,"[""Car Accessories"", ""Fashionable""]","{""color"": ""Blue"", ""material"": ""Durable plastic"", ""style"": ""Fashionable""}",1.65,"['https://m.media-amazon.com/images/I/41iz6wz1p1L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71Dt8KOonhL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/813fMoeY02L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71gnUOYWBmL._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/51vzHfiWuOL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71Dd2--ZhnL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71H6ZiUQh2L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61zaGN3+cHL._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/81c6-Ads0qL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71VQpqbJExL._AC_UL320_.jpg']"
20729,RED SPOTTY CANDY BAG,A unique and colorful candy bag with a red spot on it.,"[""Red color"", ""Spot pattern""]",Candy Bags,"[""Unique"", ""Colorful"", ""Candy""]","{""color"": ""Red"", ""material"": ""Polyester"", ""style"": ""Bag""}",2.57,"['https://m.media-amazon.com/images/I/61YU99aOurL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/5176Cy2wDsL._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/711bweyq6ML._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/810SzHACfeL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81lXBQwoeWL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/5176Cy2wDsL._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/71C0XS+wfKL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81DEYqERmDL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81dHnnMmvNL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/711bweyq6ML._AC_UL320_.jpg']"
20730,STRAWBERRY CANDY BAG,"A colorful and delicious strawberry candy bag, perfect for storing candies or treats.","[""Strawberry flavor"", ""Candy storage""]",Candies & Treats,"[""candy"", ""treats"", ""strawberry""]","{""color"": ""Red"", ""material"": ""Polyester"", ""style"": ""Bag""}",1.25,"['https://m.media-amazon.com/images/I/71ZbKTdlz1L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71hUGVnycYL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61LJzvNBb-L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71nd-I1hJcL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/91YL2kTT-1L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61iw4luKwwL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61AEN5JknmL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/41fPV3UqXBL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61WpVkbV+-L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71WmR4E4pNL._AC_UL320_.jpg']"
20733,GOLD MINI TAPE MEASURE,A compact and lightweight tape measure with gold finish.,"[""Gold finish"", ""Compact design""]",Home & Garden,"[""Tape Measure"", ""Gold Finish"", ""Compact""]","{""color"": ""Gold"", ""material"": ""Plastic"", ""style"": ""Compact""}",0.85,"['https://m.media-amazon.com/images/I/61aKgyk3mtL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51hmPJU9FKL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/41eqRwAc9YL._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/41HPE0ZHwaL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/41mAlNY6yzL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61r6MLma3mL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51xhJ3Z8j6L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/41JhwAIIx5L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71EeeYUHnrL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/31q3DQqvfhL._AC_UL320_.jpg']"
20735,BLACK MINI TAPE MEASURE,A compact and lightweight mini tape measure with a black finish.,"[""Compact design"", ""Lightweight construction"", ""Black finish""]",Measuring Tools,"[""measuring tools"", ""compact"", ""lightweight""]","{""color"": ""black"", ""material"": ""plastic"", ""style"": ""compact""}",1.7,"['https://m.media-amazon.com/images/I/41vjbrsborL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61Xiym7Ll3L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61LUVpZKHmL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/41JKzWqrLaL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/6187MFYqHYL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/41gPSrsZTaL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/412mJM-u3RS._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61jst+cLRWL._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/51G88L5VhGL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61iwisZZMYL._AC_UL320_.jpg']"
20747,PICCADILLY TEA SET,A beautiful and elegant tea set from the iconic Piccadilly brand.,"[""Elegant design"", ""High-quality materials"", ""Versatile for various occasions""]",Home & Garden,"[""Tea Set"", ""Piccadilly"", ""Elegant""]","{""color"": ""White"", ""material"": ""Stainless Steel"", ""style"": ""Modern""}",14.95,"['https://m.media-amazon.com/images/I/71Y7elyCl2L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61TpO4kyP6L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71qRBYneWRL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51jWN2ICEZL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61bFx-qsqWL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61mBfq95WRL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61dHntJ9WCL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61WZF7o3+2L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61JqvKQISuL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/616nMSjpCNL._AC_UL320_.jpg']"
20748,KENSINGTON COFFEE SET,"A high-quality, durable coffee set that is perfect for any home or office.","[""Durable"", ""High-quality"", ""Stylish""]",Kitchenware,"[""Coffee"", ""Set"", ""Durable"", ""Stylish""]","{""color"": ""Silver"", ""material"": ""Steel"", ""style"": ""Modern""}",12.75,"['https://m.media-amazon.com/images/I/71NJ0Z9DqFL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71RSyQS1UAL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61fTkhX-vBL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/612eAKT-PCL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81aeL0XvpsL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61+7O4O8cfL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/41IgWrqbRoL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/516Pj5PggLL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61cozmTWT9L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51sFspnAOOL._AC_UL640_QL65_.jpg']"
20749,ASSORTED COLOUR MINI CASES,A collection of assorted mini cases with various colors and materials.,"[""Assorted mini cases"", ""Various colors"", ""Different materials""]",Accessories,"[""accessories"", ""mini cases"", ""various colors"", ""different materials""]","{""color"": ""Various colors"", ""material"": ""Different materials"", ""style"": ""Mini""}",7.95,"['https://m.media-amazon.com/images/I/61FOnjPs+aL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/41qjTtVV43L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/616X9IWpnYL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61ECHYpCG4L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/41DXpmmWi5L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61iUBQBfFeL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71EgmLP9c4L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71pf9sBqouL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/41YhGtT4CPL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61UmnH1hpCL._AC_UL320_.jpg']"
